"","id","medresid","intercept","stdevresid","f","cor","outlier","class"
"410","2R 28028019",-0.0228571477642047,0.211438022744635,0.0708154045575888,1.1238875599245,-0.292637637226263,0.014493618036502,"environment"
"1116","2R 41274890",-0.0475264011074117,0.380637322872262,0.112265135642225,1.33160467757689,-0.316043194209999,0.012312988216602,"environment"
"323","2R 25011602",-0.00267472913475365,1.60036097865455,0.153726533984983,12.7780217296578,-0.718122437670759,0,"environment"
"151","2R 20258240",0.054957148419731,-0.17541003010968,0.338951676786284,0.836381876853446,0.255258958272561,0,"outlier"
"2274","3R 42841428",0.00627591177754638,0.164230237219391,0.118002334003802,7.60537773378814,0.622834681236044,0.219169960474308,"environment"
"2707","X 17748387",0.129415665054602,0.381501120654675,0.297450970525024,0.240302342910515,0.140114451144954,0.327272727272727,"outlier"
"2047","2L 37446788",-0.0283270821188408,2.09284358818318,0.133981616067976,33.5608167024834,-0.858263236848529,0.054125998225377,"environment"
"2325","3L 2421580",-0.00968801034353176,0.721730586747487,0.0990256433794034,8.19406930230756,-0.636997745404736,0.160869565217391,"environment"
"2157","3R 28135824",-0.0248047971368473,0.563830930318766,0.0839077057706356,5.33198650112192,-0.554651701446843,0.038726333907057,"environment"
"3599","X 22522499",0.11681387757659,0.194814460203578,0.317977469624217,0.701198839527697,0.234962328164857,0.327272727272727,"outlier"
"1048","2R 41097733",-0.0314974627147388,0.334628440653069,0.103481811562348,1.35992716079833,-0.319047817921638,0.017277902820071,"environment"
"1468","2L 1695497",-0.0297955684006027,0.226671766809476,0.0888333833287335,0.755978884375137,-0.243443361817078,0.114577120362638,"environment"
"1630","2L 3121392",-0.0472705352932863,0.0450001526964662,0.143021689173113,6.31558134887039e-05,0.00229411350166755,0.405867454622203,"outlier"
"1040","2R 41073578",-0.0325167292054059,0.349627501130417,0.107361403806135,1.38263860568204,-0.321427821195202,0.018337084602145,"environment"
"2392","3L 11249876",-0.00615339990271125,0.837265424812812,0.116942504674552,7.77409764196074,-0.627013163300168,0.117588932806325,"outlier"
"1221","2R 42402687",-0.0205279087495994,0.202063933872519,0.0659780621113824,1.19980201079307,-0.301488731272419,0.02123344864607,"environment"
"3627","X 23254119",0.116815162821874,0.194739240044634,0.317970935164001,0.7013817982155,0.234991287167593,0.327272727272727,"outlier"
"1701","2L 3465327",-0.0181547725224494,0.225584102747665,0.0624277454835015,1.74971808310521,-0.356727954241953,0.00767906792003098,"environment"
"521","2R 28353951",-0.0354740266287748,0.0248818556456367,0.134622898581532,0.00130503234519,0.010427889027499,0.412953168050459,"outlier"
"2200","3R 28580604",-0.0354097275132076,0.0199484098135247,0.137723617281402,0.00229723356028989,0.0138347204253159,0.424410540915395,"outlier"
"967","2R 40567866",-0.0350850273300854,0.332832399655828,0.111798331044953,1.12410864179058,-0.292663953375808,0.038828581653346,"environment"
"3125","X 18847288",0.113274487890165,0.196781131468924,0.314286963327549,0.721122976909765,0.23809043104165,0.354545454545455,"outlier"
"1680","2L 3428010",-0.0367983442784314,0.0207307003944472,0.1431245434493,0.00229723356028989,0.0138347204253159,0.441054091539528,"outlier"
"1863","2L 4793046",-0.0292645603619253,0.0192577626571756,0.111759989616133,0.00168888158444304,0.0118625598856029,0.342940295221772,"outlier"
"17","2R 10883765",-0.129441699395569,0.964225790529284,0.31186326686599,1.0180934408879,-0.279653415259068,0.281818181818182,"outlier"
"322","2R 24857123",-0.0390843463660871,1.9767536215537,0.146164553409135,25.5155024333546,-0.824701299117748,0.043083003952569,"environment"
"2718","X 17945789",0.108767868874064,0.539837824371085,0.29727461872901,0.049215909690093,0.0639106692205974,0.327272727272727,"outlier"
"2745","X 18175373",0.150049596871305,0.583533327728752,0.3030799256265,0.0691744232544734,0.0757066434413647,0.312121212121212,"outlier"
"2628","X 16805751",-0.0737132481086395,0.938232726649739,0.289205187395721,1.07296187621576,-0.286487150796354,0.372727272727273,"outlier"
"805","2R 28909353",-0.0225904048326845,0.217406710721904,0.0723868953300324,1.14792564953975,-0.295480115582256,0.033184637145033,"environment"
"3074","X 18673673",0.0509765374286696,0.124316690844366,0.205783875381781,2.02250455455859,0.379779885545474,0.161857707509882,"environment"
"3424","X 19927441",0.117873374189463,0.191714006941601,0.317618081783146,0.707057213109357,0.235887423014581,0.327272727272727,"outlier"
"2530","X 9260194",-0.0305804108808895,1.21748934356449,0.165829598668345,5.65950626427065,-0.566108914701278,0.142736425411978,"environment"
"3492","X 21103509",0.117028421194922,0.182032338142923,0.318471836706017,0.725384432630569,0.238752902464327,0.318181818181818,"outlier"
"947","2R 40472060",-0.0347553184818804,0.325468265819242,0.110281584053192,1.10130043184736,-0.289931699911567,0.032804485267804,"environment"
"106","2R 19878316",-0.0246177472868742,1.78035106460346,0.141041807878419,21.6391719553721,-0.802043032872829,0.057299843014129,"environment"
"3493","X 21116028",0.10684113517461,0.154816434893423,0.314356648431661,0.792570418923017,0.248908668384461,0.327272727272727,"outlier"
"3513","X 21406719",0.124757118993802,0.0821733368404191,0.318886248005677,0.922966934336465,0.267246456026612,0.254545454545455,"outlier"
"998","2R 40735044",-0.0336124037848534,0.335061567935092,0.108323663854061,1.22733901153708,-0.304611311934357,0.03065728259573,"environment"
