"","id","max.resid","med.resid","int","stdevresid","rsquared","outlier","class"
"1292","X 16964007",0.052144885532292,0.0540074727573339,2.1444523921562,0.105550020700686,0.190440331243231,0.293181818181818,"reject"
"1120","X 15332446",0.023716750199861,0.0606299579921946,3.3811601543216,0.051193670061035,0.09207557811162,0.128030303030302,"reject"
"221","2R 26301066",0.105766073328252,0.0047128910459738,4.37780535190749,0.026326076327284,0.029756638915195,0.130403341608876,"reject"
"1191","X 15720808",0.048311795358716,0.0708300351877233,1.6107349196494,0.08996313258542,0.200275248527415,0.242424242424242,"reject"
"1082","X 15215295",0.023733820151597,0.0596256240707662,1.7317007718397,0.073565207265845,0.075739618977348,0.173061601934841,"reject"
"1035","X 12966695",0.148281353223678,0.0480421596730693,12.0733826674336,0.138793273015125,0.0750678770521317,0.904761904761905,"accept"
"1529","X 19177150",0.0859574576995279,0.0019082037954909,7.9208054053498,0.051349391231066,0.013460595116311,0.228260869565217,"reject"
"356","3L 11016450",0.0543687742674031,0.0953329405253581,7.8107335038201,0.050558491231325,0.00962552041814396,0.181701672727273,"reject"
"10","2L 1278025",0.17295293002172,0.0038078569013908,1.67219165869816,0.00447405663372802,0.0521695313695724,0.183031576856879,"accept"
"1212","X 15842637",0.001118694083306,0.0634331894460141,4.5983393830952,0.098773880884855,0.210419975812535,0.235101010101011,"reject"
"1134","X 15402868",0.091516853144238,0.05025323177341,2.0243591384124,0.083839869180121,0.0548162788655132,0.263636363636364,"reject"
"1711","X 2895",0.347659691073074,0.0411470596418563,3.55418542832876,0.051372155508767,0.00529582615466,0.359184152834325,"reject"
"1379","X 18195430",0.0559685154898381,0.0622952657875855,1.5306756241813,0.119960780703023,0.192553583161225,0.23560606060606,"reject"
"351","3L 10942464",0.0285997909502089,0.0611749724975124,1.4655617387731,0.098422869248484,0.121402239468179,0.184005546060606,"reject"
"643","3R 28547943",0.216460402388438,0.0037799921781551,4.38241479642364,0.0755705734944832,0.021973081434335,0.295030119029418,"reject"
"860","3R 41646602",0.034209311646861,0.0018688664264218,1.8315202973776,0.011713706013403,0.101792950321982,0.0955334987593049,"accept"
"1029","X 12678201",0.0578511690135719,0.0199181927917918,7.4226223739434,0.00184729891894397,0.058435869977048,0.060869565217391,"accept"
"806","3R 28828947",0.108300106957117,0.0802276194129754,5.18262674385195,0.054593516778209,0.0714073465431957,0.0410229316382686,"reject"
"745","3R 28613319",0.036386608983473,0.0493751081099298,0.080191719522702,0.030605806373722,0.093818925979835,0.0644379853625777,"reject"
"272","2R 28451354",0.084892023203074,0.0112177343042288,2.47582277999559,0.0542240357750386,0.017007163080068,0.0782512155577,"accept"
"1462","X 18530172",0.093079206809887,0.0487063385818374,1.8170999841393,0.107272647614988,0.0647203135095571,0.320454545454545,"reject"
"1301","X 17172132",0.057298715093547,0.0299663537393498,0.8324403351839,0.094761723076555,0.10276002519055,0.154097311139564,"reject"
"1663","X 22488567",0.058214092475086,0.0662939641004375,1.1367300475531,0.109514791095091,0.0863402435459588,0.28560606060606,"reject"
"481","3L 21095527",0.130093698685572,0.0559767644067585,9.61440961676507,0.131356246485597,0.014590128160396,0.6111111,"accept"
"1335","X 17627533",0.0136498088946561,0.0071104983074132,4.0024660595826,0.051563961614469,0.136210091239043,0.189237444871247,"reject"
"1111","X 15314295",0.069966474462558,0.0469193286463807,1.5222807007497,0.112260578754805,0.16126101971291,0.23939393939394,"reject"
"831","3R 38148978",0.015057375706494,0.0229614418238581,8.6868898305704,0.069093563264414,0.013129799614205,0.537148384235146,"reject"
"128","2L 3520778",0.094171447801828,0.0103970698622567,2.67437153342267,0.0521606538690039,0.00901775457833701,0.093363127343709,"accept"
"1278","X 16819358",0.0312895336903749,0.0112444118270759,4.3917797482249,0.073359184255826,0.222216601726586,0.22962962962963,"reject"
"540","3R 114511",0.046023871635942,0.0291692392777502,5.1603863853276,0.049194956791713,0.16793605196311,0.0588709677419355,"reject"
"239","2R 28324476",0.00492015663548906,0.0888302438016915,5.37202945021119,0.08688787595829,0.0565857450029824,0.02917405020357,"accept"
"970","3R 6369738",0.164459968644664,0.0363839817284113,13.6123073507747,0.040480133585283,0.128005178710901,0.464680247591973,"reject"
"1319","X 17236135",0.092034013583627,0.0263277074956148,0.7493536986312,0.095031666233789,0.126783092458408,0.286587708066582,"reject"
"801","3R 28809322",0.092167743874751,0.0936421945849121,12.364353388254,0.068936151352714,0.15720387127636,0.0714286,"reject"
"1760","X 9235838",0.00611961180606302,0.0066092969393958,12.1879147094588,0.00737499172453698,0.0776048943124978,0.024573430535289,"reject"
"1002","3R 6397902",0.104821593784874,0.0242287655280852,12.731770823508,0.028276667098607,0.152997198435251,0.29438279881423,"reject"
"944","3R 6124220",0.177184325422643,0.0029666494857393,13.1487360418602,0.071178974995005,0.089864416727114,0.55603381690581,"reject"
"1743","X 9134050",0.150078107146195,0.037028858442313,10.1747173974655,0.102921243186868,0.0830799035077787,0.520833333333333,"accept"
"27","2L 2167322",0.029531491851024,0.00961937335598165,0.0897413910948899,0.019952533286272,0.00901775457833701,0.053269635793908,"accept"
"273","2R 28454403",0.078755815691062,0.0120175966947913,2.47607660606502,0.052988609905928,0.00901775457833701,0.0718908922792421,"accept"
"778","3R 28632942",0.059731682751101,0.00330165019081433,1.1627006658385,0.00741557926886101,0.023502538404262,0.07651856029963,"accept"
"589","3R 28249612",0.245045169349807,0.0061233446831878,1.16523102219514,0.003903099993255,0.0047069524852343,0.215563672115388,"reject"
"593","3R 28262104",0.088865500799492,0.0840383768121434,4.3907074328628,0.092321218675542,0.063208924162685,0.013134871515151,"reject"
"1596","X 20722207",0.118257535367809,0.053198144693543,1.7405973736953,0.136503751086633,0.138148038814246,0.0308365343576612,"reject"
"878","3R 43679455",0.026100851515258,0.0323197381742445,4.8217278691144,0.047761556073815,0.074332096317235,0.272364993280632,"reject"
"1787","X 9268421",0.0239434399754,0.0415218010330195,3.23692145154899,0.00947280604498299,0.041570668380354,0.313886424134871,"reject"
"732","3R 28603597",0.0717416110540979,0.0092295507007762,1.016580755037,0.013394540430449,0.025298847252737,0.118277106518724,"reject"
"333","2R 28689894",0.00265294670875404,0.00801888883792404,0.71400946866751,0.0232666917219166,0.00339414440782701,0.019618095607952,"accept"
"1147","X 15475928",0.0353106536018341,0.0635204726308355,2.3928028178152,0.065078532338311,0.111426021451703,0.119696969696969,"reject"
"107","2L 34082354",0.022289649029013,0.147394090205611,4.4207614617892,0.001183123484813,0.130074770545241,0.0674757281553398,"reject"
"372","3L 11198470",0.143617583703584,0.11990530518966,8.73008247211668,0.003858052000936,0.0665221668903454,0.00968379446640311,"reject"
"229","2R 28255722",0.117392505945884,0.00839937642200942,3.2154680801917,0.0542657303817852,0.00329024963010102,0.122853719556172,"accept"
"1056","X 14959655",0.027519255141683,0.0215871212550827,0.0757708520595983,0.085480219870604,0.138082346348645,0.170454545454545,"reject"
"177","2L 43254994",0.028445011399318,0.0531481257516404,12.4085765297592,0.163786876348577,0.0756779444341701,0.775537634408602,"accept"
"1380","X 18195495",0.056691984895188,0.0669885569048735,1.8739259443902,0.118745681102603,0.180442413425695,0.226515151515151,"reject"
"202","2R 20017868",0.16423194339867,0.0215384681450346,7.00129988216761,0.029536856795341,0.072795339177552,0.0032467818181821,"reject"
"1649","X 22426074",0.0474785791188029,0.0713634722565819,0.1334474253011,0.089541286672137,0.0807738842021418,0.349242424242424,"reject"
"1506","X 18953565",0.00629065562851006,0.0163650961574484,6.8542947893382,0.052850934333822,0.004095001735651,0.073671497584541,"reject"
"949","3R 6342688",0.105648205544785,0.0456183733605406,8.6394396102827,0.039937737996927,0.065386981904694,0.766975931327058,"reject"
"1020","X 1234602",0.090977961110619,0.0029970645170649,11.3177186547157,0.058570625110114,0.061330866055914,0.261853499524288,"reject"
"935","3R 52654652",0.039540188867087,0.0092606325983948,0.8304843746084,0.114060950678661,0.251775195510621,0.183333333333333,"reject"
"438","3L 14551905",0.018939841764901,0.0078360969518199,0.29562334592107,0.00525947481751804,0.00536956907648421,0.00567573169705499,"reject"
"1074","X 15203666",0.0260664142756509,0.038732123413994,10.326302860315,0.051711942974067,0.0342674927581694,0,"reject"
"1317","X 17193112",0.033401527095459,0.0733387448611313,5.8850346384579,0.080871814526041,0.150876344421314,0.173484848484848,"reject"
"1738","X 8786248",0.086138350131381,0.0100916471659576,5.29798317486843,0.055937333087609,0.0315990984717396,0,"reject"
"96","2L 34002490",0.153476312561337,0.0101766099773921,3.87071202498018,0.0659290853105323,0.00901775457833701,0.164766014280577,"reject"
"1012","X 11079710",0.137110814782166,0.03230193096365,12.1215010360059,0.00399099770705402,0.13045335928892,0.0835907816249807,"reject"
