"","id","maxresid","medresid","intercept","stdevresid","rsquared","cor","outlier","class"
"1545","2L 853661",0.376715913568377,-0.0120172413008331,8.56655775938195,0.125285659190038,0.18861187846811,-0.43429469081271,0.428571428571429,"outlier"
"8110","3R 44861673",0.138199735334498,-0.0173972942831207,4.07858947909115,0.0534591045660266,0.222583031630229,-0.471787061745255,0.140890856843533,"environment"
"11609","X 15329646",0.145256428240121,-0.0132630583862361,9.75107695495645,0.0712208258532752,0.480128484764329,-0.692913042714827,0.052497007942552,"environment"
"2076","2L 2287276",0.359762827656424,-0.0243843943138161,10.2820571704908,0.125738383324624,0.248903903565968,-0.49890269949757,0.4051230414434,"outlier"
"1087","2R 40831656",0.193457173451058,-0.00447317691940159,-4.05928145772348,0.0895641554275434,0.0970921059754976,0.311596062195119,0.106122448979592,"environment"
"559","2R 28454790",0.270371507210475,-0.040267422913864,-4.79708861609787,0.132729721360311,0.0634536604508855,0.251900100140689,0.04421768707483,"environment"
"4403","2L 4950876",0.307224628541201,-0.00980046863368917,6.98631894939887,0.102174712349157,0.18861187846811,-0.43429469081271,0.349514563106796,"outlier"
"8266","3R 45379993",0.204508685387183,-0.00687765651900906,6.21688689036152,0.0686960243857881,0.288902097558896,-0.537496137250204,0.23500302883019,"outlier"
"4506","2L 6449313",0.336621015305468,-0.0167984092707048,15.3363336192533,0.199872691665792,0.220386488932953,-0.469453393781465,0.0863178667421705,"environment"
"35","2R 21087312",0.582795973129214,0.0290237930770012,23.6662544926371,0.24804534554687,0.297971253299953,-0.545867431983224,0.316269284712483,"environment"
"1162","2R 47792862",0.758026455721914,-0.0524363690934025,-11.6097294870583,0.239939347685456,0.106120492425793,0.325761404137745,0.781150969704652,"outlier"
"11475","X 15275598",0.251205983840384,-0.0550870745639798,-4.55458286783178,0.145269487344316,0.0489665269789323,0.221283815447348,0.010416666666667,"environment"
"3769","2L 3859367",0.360714393455275,-0.0141854007413686,8.13940181563161,0.120061514972659,0.185903605203819,-0.431165403533047,0.407196186572849,"outlier"
"2531","2L 2982364",0.382921537453233,-0.014773626247731,9.3731629017515,0.127630495058216,0.211398018955477,-0.459780402970237,0.438022630523006,"outlier"
"3476","2L 3616720",0.383460296470729,-0.0137887818467774,9.40647448664919,0.127577094668483,0.21276041680264,-0.461259598060177,0.439802309351474,"outlier"
"6993","3R 37178318",0.173244942522863,-0.0157715251671088,7.10460850083946,0.0660821233945943,0.362949146733881,-0.602452609533621,0.185286063774748,"environment"
"4430","2L 4971645",0.314952357846835,-0.016291864952848,6.27281877521952,0.105199604852323,0.149916591911694,-0.387190640268707,0.345375055505912,"outlier"
"2892","2L 3178465",0.603711014945189,0.169977432089326,2.47434859617188,0.359305314695189,0.00134656220436989,-0.0366955338477401,0,"outlier"
"11124","X 14849025",0.227109690976491,-0.0390333022011115,-2.02022316909794,0.112205541107234,0.0174094292384146,0.13194479617786,0.079166666666667,"environment"
"9849","3L 11020998",0.417874277420083,0.0328515848541,-5.13522093743568,0.201087735305938,0.0353535805808387,0.188025478541723,0.157830020906364,"environment"
