"","id","max.resid","med.resid","int","rsquared","f","cov","cor","outlier","class"
"1071","2L 30267076",0.005105488668465,0.0300982725334261,0.438466035422395,0.226611991250627,3.55311895876392,8.64621041367809,0.335351590233746,0.219432675757977,"accept"
"8085","X 21014027",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"2778","2R 29184507",0.193165772999355,0.0649116535122308,0.343260110314492,0.134928059766428,1.85864768010031,7.26534885817884,0.30698121254167,0.036802845420789,"accept"
"9388","X 22325272",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"10001","X 22940138",0.214478353979617,0.03066000603832,1.40964197302461,0.0384345606081262,1.26563129053833,39.9223816835028,0.542450617089904,0.327272727272727,"reject"
"8328","X 21320001",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"7133","X 19867443",0.212994531326191,0.033810138628407,1.35429655777872,0.0267396956229826,0.994444064040279,38.3402889969638,0.521085731493665,0.327272727272727,"reject"
"2446","2R 18687812",0.083031919110782,0.0224008957552882,0.150373530496913,0.131203423243212,1.31613085507058,1.03419560710132,0.140174991363629,0.14624336383878,"accept"
"10882","X 9144871",0.180216884950777,0.0758447559123833,0.923703125441924,0.104161321550343,1.39080005058952,22.0104636257633,0.357664093298706,0.5,"accept"
"3462","3L 16676302",0.167077534843938,0.0381968879306352,0.350346371789693,0.254503340035063,4.20110889658432,6.64698748710344,0.350644880823936,0.047042107530609,"accept"
"6342","X 14747851",0.216497633458029,0.0017040549505203,0.393502762663662,0.196157563140261,2.94214701618117,5.8254955235132,0.22478228720895,0.116526285439899,"accept"
"4536","3R 14178250",0.010207641284519,0.0030729708171315,0.420896938331179,0.223295841062409,3.45021679160319,9.03243949419286,0.49180422038007,0.269244493651784,"reject"
"9151","X 22159617",0.214672517601707,0.041117929995662,1.3577980529915,0.0279313141072083,1.02122783444103,38.4873356399769,0.523112726521447,0.327272727272727,"reject"
"9859","X 22797343",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"6466","X 15472741",0.119976130068582,0.00312435281394631,1.04181648533225,0.145538504999959,2.02082277689752,26.0626814441767,0.488125203843208,0.104796526225097,"reject"
"10568","X 23972127",0.215975625080324,0.043341994940195,1.3517446655861,0.0272909137802608,1.00628428558119,38.3563239312325,0.521795763648967,0.327272727272727,"reject"
"3537","3L 193415",0.137656921157203,0.147025442425247,0.579599704878472,0.0659954048452511,1.34477758937315,20.5803102423407,0.242128859339011,0.290909090909091,"reject"
"3796","3L 28316305",0.101871029451246,0.0258565129646075,0.38082599432557,0.183447362818437,2.63553603837457,6.0171539751732,0.214176357698858,0.093052740687613,"accept"
"2134","2R 11109034",0.035883643967676,0.0236209470528167,0.33267109103826,0.187622162466203,2.73258850447881,6.18239014824029,0.229047742853569,0.191436308242373,"accept"
"3223","2R 7414413",0.085893915446838,0.0212541610949132,0.281104125576558,0.179193875138913,2.53739066650601,4.04434749959999,0.212983935017601,0.067042493184279,"accept"
"5700","3R 52353818",0.118330602575366,0.0575782739377877,0.965549435898353,0.114164669089841,2.46930463244228,29.4967265556116,0.381416329846139,0.23181818,"reject"
"7852","X 20673637",0.212287594459185,0.027008743079525,1.41681013870043,0.0398791852786988,1.29480959604596,40.0805650162344,0.543141480280859,0.327272727272727,"reject"
"2487","2R 19881155",0.038130581902971,0.0107145899878237,0.239813091276847,0.04026461183461,0.88623001524428,2.8975797406455,0.043739460791938,0.061677769006421,"accept"
"8800","X 21717765",0.212338072092121,0.037108160407552,1.37804275268635,0.0273694303104972,1.02238151881282,38.905473762475,0.52795999014238,0.318181818181818,"reject"
"9016","X 22112659",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"7969","X 20778249",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"8283","X 21164783",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"2192","2R 12926750",0.280676114544092,0.0170188426123019,0.476689016300231,0.195844546310477,2.91175610305439,7.71825330314328,0.275605506431601,0.080788313125902,"accept"
"8359","X 21337824",0.214326796652285,0.040175316665622,1.36886529286477,0.0272505659059681,1.01437636832448,38.7205128220518,0.525527896021293,0.318181818181818,"reject"
"9564","X 22498455",0.215104143291806,0.040996658239012,1.36003687332719,0.0281835610619112,1.02693007757046,38.5624697781392,0.523549938428889,0.327272727272727,"reject"
"3059","2R 5256468",0.13335122503403,0.0476988444359563,0.409008382433951,0.26382944404342,4.31069268185602,8.9654355453834,0.460296952490089,0.036619002336684,"accept"
"6631","X 18773820",0.213889198806055,0.037327302346977,1.37386174994733,0.0295042752106063,1.05653464509973,38.9106569894786,0.525702315256562,0.327272727272727,"reject"
"4535","3R 140997",0.076668814384801,0.280307355553634,0.452549095518667,0.0747605886071949,1.61679502081643,18.112015181871,0.19852176940135,0.0161290322580645,"accept"
"7581","X 20145400",0.214315249529215,0.040208612363945,1.36067060367311,0.0282052084929425,1.02722105548713,38.5594239109629,0.523503847918356,0.327272727272727,"reject"
